"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"431";"Augmented reality glasses adjustable in eyeglass light transmittance and light transmittance adjusting method";"GUO XIAOYANG 
JIA HUIDONG";"SICHUAN CHANGHONG NETWORK TECH CO LTD";"CN105676460A";"2016-04-18";"G02B27/01 
G02C7/10";"G02B27/0172 (CN) 
G02C7/10 (CN) 
G02B2027/0178 (CN)";"2016-06-15";"2016-06-15";"056310062";
"432";"Head-mounted display equipment, display device and head-mounted support device";"YU LINWEI";"HUAWEI TECH CO LTD";"CN110308558A";"2019-06-14";"G02B27/01";"G02B27/0176 (CN)";"2019-10-08";"2019-10-08";"068075966";
"433";"Augmented reality-based vehicle body garland display method and head-mounted display device";"FAN DAHAI 
YU ZHUOCHENG 
ZHANG GAORAN";"ZHEJIANG ZEEKR INTELLIGENT TECH CO LTD 
GEELY HOLDING GROUP CO LTD";"CN120447741A";"2025-05-09";"G06F3/01 
G06T19/00";"";"2025-08-08";"2025-08-08";"096607123";
"434";"AR GLASSES APPARATUS CONTROLLING UI USING WHEEL BUTTON AND UI CONTROL METHOD THEREOF";"CHIWON CHOI 
CHOI JIWOONG";"P&C SOLUTION CO LTD [KR]";"KR102931781B1 
KR20240145311A";"2023-03-27";"G02B27/01 
G06F3/0482 
G06F3/04842 
G06F3/04847 
G06T19/00";"G02B27/017 (KR) 
G06F3/0482 (KR) 
G06F3/04842 (KR) 
G06F3/04847 (KR) 
G06T19/006 (KR)";"2024-10-07 
2026-02-27";"2024-10-07";"093115523";
"435";"AR-BASED HOLOGRAPHIC HEAD-MOUNTED DISPLAY SYSTEM, METHOD, AND HOLOGRAPHIC HEADSET";"WU TAIHUI [CN] 
WANG HAIJUN [CN] 
YANG XIAOHUI [CN] 
WANG HONGLEI [CN] 
LIU SHAOQUAN [CN] 
MENG FANYUE [CN] 
ZHU WEI [CN]";"CHINESE INST OF COAL SCIENCE [CN]";"WO2023056818A1";"2021-10-08";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0174 (CN)";"2023-04-13";"2021-11-05";"078310758";
"436";"Power equipment inspection method based on AR (Augmented Reality) glasses";"CHEN XIAOYU 
XIE JIONG 
SHI FENG 
REN REN 
SAI YINGFU 
LI QI 
HAN YAOTING";"INNER MONGOLIA POWER GROUP MENGDIAN INFORMATION COMMUNICATION IND CO LTD";"CN119107200A";"2024-09-06";"G06F16/36 
G06F18/25 
G06N3/0464 
G06N3/092 
G06N3/126 
G06N5/01 
G06Q10/047 
G06Q10/0635 
G06Q50/06 
G06Q50/20";"G06F16/367 (CN) 
G06F18/25 (CN) 
G06N3/0464 (CN) 
G06N3/092 (CN) 
G06N3/126 (CN) 
G06N5/01 (CN) 
G06Q10/047 (CN) 
G06Q10/0635 (CN) 
G06Q50/06 (CN) 
G06Q50/2057 (CN) 
Y04S10/50 (EP)";"2024-12-10";"2024-12-10";"093712942";
"437";"Image sharpening method based on augmented reality and augmented reality glasses";"ZHANG ZHIYANG 
SU JIN 
YU YONG 
LI QI";"BEIJING AIBO TONGXIN MEDICAL TECH CO LTD";"CN110717866A 
CN110717866B";"2019-09-03";"G02B27/01 
G06F3/01 
G06T3/40 
G06T5/00";"G02B27/017 (CN) 
G06F3/011 (CN) 
G06T3/40 (CN) 
G06T5/73 (CN) 
G02B2027/0178 (CN)";"2020-01-21 
2022-10-18";"2020-01-21";"069209659";
"438";"AR GLASSES WITH SENSOR AND USER ACTION BASED CONTROL OF EXTERNAL DEVICES WITH FEEDBACK";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US]";"US2012194553A1";"2010-02-28";"G06F3/01 
G09G5/00";"G01C21/3407 (EP) 
G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G05D1/0016 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2012-08-02";"2012-08-02";"046576997";
"439";"AR GLASSES APPARATUS WITH AUTOMATIC ADJUSTABLE VIRTUAL IMAGE DISTANCE";"CHIWON CHOI 
DONG HO HAM 
KIM JINMAN";"P&C SOLUTION CO LTD [KR]";"KR102823347B1 
KR20240027482A";"2022-08-23";"G02B27/01";"G02B27/0172 (KR) 
G02B27/0176 (KR) 
G02B2027/0187 (KR)";"2024-03-04 
2025-06-20";"2024-03-04";"090298033";
"440";"DIFFRACTIVE OPTICAL ELEMENTS-BASED WAVEGUIDE ARCHITECTURE FOR AUGMENTED REALITY GLASSES WITH WIDE FIELD OF VIEW";"BORISOV VLADIMIR NIKOLAEVICH [RU] 
ANGERVAKS ALEKSANDR EVGENYEVICH [RU] 
MURAVEV NIKOLAY VIKTOROVICH [RU] 
OKUN ROMAN ALEKSANDROVICH [RU] 
VOSTRIKOV GAVRIL NIKOLAEVICH [RU] 
POPOV MIKHAIL VYACHESLAVOVICH [RU]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US12332459B2 
US2023081473A1";"2021-09-13";"G02B27/01 
G02B27/42 
G02B5/18";"G02B27/0081 (EP) 
G02B27/0172 (EP,US) 
G02B27/42 (US) 
G02B5/189 (US) 
G02B2027/0125 (EP) 
G02B2027/0174 (EP) 
G02B2027/0178 (EP)";"2023-03-16 
2025-06-17";"2023-03-16";"085478172";
"441";"HMD HEAD-MOUNTED DISPLAY DEVICE FOR CONTROLLING SENSOR OF EXTERNAL ELECTRONIC DEVICE AND METHOD THEREOF";"SINAE KIM 
JIHYUN AHN 
JINWAN AN 
JISU SON";"SAMSUNG ELECTRONICS CO LTD [KR]";"KR20240115138A";"2023-01-18";"G02B27/01 
G06F3/00 
G06F3/01 
G06F3/04842 
H04W4/80";"G02B27/017 (KR) 
G06F3/005 (KR) 
G06F3/011 (KR) 
G06F3/017 (KR) 
G06F3/04842 (KR) 
H04W4/80 (KR)";"2024-07-25";"2024-07-25";"092173339";
"442";"AN OPTICAL DEVICE WITH WIDER FIELD OF VIEW USING CONVEX LENS AND A HEAD MOUNTED DISPLAY APPARATUS HAVING THEREOF";"CHIWON CHOI 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102331938B1";"2020-07-17";"G02B27/01 
G02B27/28 
G02B3/04 
G02B5/10";"";"2021-12-01";"2021-12-01";"078933951";
"443";"Laser beam scanning display device and augmented reality glasses";"WANG JIN";"GOERTEK TECH CO LTD";"CN107861248A 
CN107861248B";"2017-12-25";"G02B26/10 
G02B27/01 
G02B27/10";"G02B26/105 (CN) 
G02B27/0172 (CN) 
G02B27/1006 (CN) 
G02B2027/0178 (CN)";"2018-03-30 
2023-12-26";"2018-03-30";"061707376";
"444";"AUGMENTED REALITY DEVICE AND SMART GLASSES";"FAN XIAOYU [CN] 
LV CHENGKAN [CN]";"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD [CN]";"WO2023005623A1";"2021-07-29";"G02B27/01";"G02B27/01 (EP)";"2023-02-02";"2023-02-02";"085059458";
"445";"HEAD-MOUNTED DISPLAY";"NAKADE MAYUMI [JP] 
HASHIMOTO YASUNOBU [JP] 
OKU MASUO [JP]";"MAXELL LTD [JP]";"US2025264939A1";"2019-05-22";"G02B27/00 
G02B27/01 
G06F3/01 
G06V20/20 
G06V20/64 
G06V40/10 
G06V40/20";"G02B27/0093 (US) 
G02B27/0101 (US) 
G02B27/017 (US) 
G02B27/0179 (US) 
G06F3/011 (EP,US) 
G06F3/012 (US) 
G06F3/017 (US) 
G06V20/20 (EP,US) 
G06V20/64 (EP,US) 
G06V40/10 (US) 
G06V40/20 (EP,US) 
G06V40/28 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (US) 
G02B2027/0141 (EP,US) 
G02B2027/0178 (US) 
G02B2027/0185 (US) 
G02B2027/0187 (US) 
G02B27/017 (EP)";"2025-08-21";"2020-11-26";"073459316";
"446";"Augmented reality display system and AR glasses";"DIAO RUIMIN 
WANG YAOCHANG";"SICHUAN LONGHUA PHOTOELECTRIC FILM LTD COMPANY";"CN216248599U";"2021-12-07";"G02B27/01 
G02B27/28 
G02B5/30";"";"2022-04-08";"2022-04-08";"080961732";
"447";"OPTICAL SUPPORT SYSTEM FOR AUGMENTED REALITY GLASSES";"MATON OLIVER WILLIAM [US]";"SNAP INC [US]";"WO2025160136A1";"2024-01-23";"G02B27/01";"G02B27/0176 (EP) 
G02B27/0179 (EP) 
G02B2027/0178 (EP)";"2025-07-31";"2025-07-31";"094733905";
"448";"AR display device and smart glasses";"ZHOU ZENGJUN 
ZHANG QIAN 
FENG DONGYANG";"ZHEJIANG CRYSTAL DISPLAY TECH CO LTD";"CN107678165A";"2017-11-14";"G02B27/01 
G02B27/09 
G02B27/28";"G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B27/09 (CN) 
G02B27/283 (CN) 
G02B2027/0114 (CN)";"2018-02-09";"2018-02-09";"061148869";
"449";"HEAD-MOUNTED DISPLAY DEVIE WITH AN INERTIA MEASUREMENT UNIT CAPABLE OF COMPENSATING FOR ERROR OF EARTH MAGNETIC FIELD";"CHIWON CHOI 
LEE KANG HWI 
LEE SEONG SU";"P&C SOLUTION [KR]";"KR102073723B1";"2019-05-03";"G02B27/01 
G06F3/01 
G06F3/0346";"G02B27/017 (KR) 
G06F3/012 (KR) 
G06F3/0346 (KR) 
G02B2027/0187 (KR)";"2020-02-05";"2020-02-05";"069514510";
"450";"Data Overlay Generation Using Portable Electronic Device With Head-Mounted Display";"CAVALIER MARCUS ALEXANDER MAWSON [GB]";"CAVALIER MARCUS ALEXANDER MAWSON [GB]";"GB2477787A 
GB2477787B";"2010-02-15";"H04N13/00 
G06T19/00";"G06T19/006 (GB) 
H04N13/183 (EP) 
H04N13/344 (EP) 
H04N13/398 (EP)";"2011-08-17 
2014-09-24";"2011-08-17";"042110696";
"451";"CONTACTLESS VITALS USING SMART GLASSES";"LANE DONALD [US] 
BENNETT LEEANN M [US]";"LANE DONALD [US] 
BENNETT LEEANN M [US]";"US2022225936A1";"2021-01-19";"A61B5/00 
A61B5/01 
A61B5/021 
A61B5/024 
A61B5/145 
A61B5/16 
G06F3/01";"A61B5/0013 (EP,US) 
A61B5/0022 (EP) 
A61B5/0077 (EP,US) 
A61B5/01 (US) 
A61B5/015 (EP) 
A61B5/02055 (EP) 
A61B5/021 (US) 
A61B5/02108 (EP) 
A61B5/024 (US) 
A61B5/02433 (EP) 
A61B5/02438 (EP) 
A61B5/14542 (US) 
A61B5/14551 (EP) 
A61B5/165 (EP,US) 
A61B5/4869 (US) 
A61B5/6803 (EP,US) 
A61B5/742 (US) 
A61B5/743 (EP) 
A61B5/749 (EP,US) 
G06F3/011 (US) 
G06F3/013 (EP) 
G06F3/017 (EP) 
G06F3/03547 (EP)";"2022-07-21";"2022-07-21";"082406756";
"452";"AR SPATIAL COORDINATE DETECTION DEVICE USED AS INPUT DEVICE FOR AUGMENTED REALITY GLASSES";"CHIWON CHOI 
LEE KANG HWI 
KIM JEONG HWAN";"P&C SOLUTION CO LTD [KR]";"KR102741807B1 
KR20240041511A";"2022-09-23";"G06F3/01 
G06F3/03 
G06T19/00";"G06F3/017 (KR) 
G06F3/0308 (KR) 
G06T19/006 (KR)";"2024-04-01 
2024-12-16";"2024-04-01";"090667225";
"453";"HEAD-MOUNTED DISPLAY DEVICE AND CONTROL METHOD FOR THE HEAD-MOUNTED DISPLAY DEVICE";"FUJIMAKI YUTAKA [JP]";"SEIKO EPSON CORP [JP]";"US2013234914A1 
US9557566B2";"2012-03-07";"G02B27/01 
G06F3/01";"G02B27/017 (EP,US) 
G06F3/011 (EP,US)";"2013-09-12 
2017-01-31";"2013-09-12";"049113624";
"454";"Augmented reality glasses and implementation method thereof";"ZHU RONG";"SUZHOU YUNDU NETWORK TECHNOLOGY CO LTD";"CN102866506A";"2012-09-21";"G02B27/22 
G06F9/445 
H04N13/04";"";"2013-01-09";"2013-01-09";"047445465";
"455";"Optical transmission type AR (augmented reality) glasses display chip and preparation method thereof";"WAN JINPING 
YU TIANBAO 
GAO HONGXIN 
LIU FANGJIAO";"WAN JINPING 
YU TIANBAO";"CN108538876A 
CN108538876B";"2018-04-24";"G02B27/01 
H01L27/15 
H01L33/00";"G02B27/017 (CN) 
H10H20/01 (CN) 
H10H29/142 (CN)";"2018-09-14 
2020-09-04";"2018-09-14";"063478443";
"456";"Vehicle-mounted six-degree-of-freedom head-up display system and method based on augmented reality glasses";"ZHAO XUDONG 
FENG JIEXUAN 
ZHANG MINGLI 
LI ZIMING 
WU DEZHOU";"BEIJING ZHIJING WEIZHI TECH CO LTD";"CN119472999A";"2024-10-29";"G06F3/01 
G06T5/20 
G06T5/70 
G06T7/246 
G06T7/70 
G06T7/80 
G06V10/26 
G06V10/764";"G06F3/012 (CN) 
G06T5/20 (CN) 
G06T5/70 (CN) 
G06T7/246 (CN) 
G06T7/70 (CN) 
G06T7/80 (CN) 
G06V10/26 (CN) 
G06V10/764 (CN) 
Y02T10/40 (EP)";"2025-02-18";"2025-02-18";"094586542";
"457";"Password determination method based on augmented reality glasses and related device";"WANG TIANXIAO";"BANK OF CHINA CO LTD";"CN115481388A";"2022-09-29";"G06F21/46 
G06F3/01";"G06F21/46 (CN) 
G06F3/011 (CN)";"2022-12-16";"2022-12-16";"084394474";
"458";"AR GLASSES APPARATUS THAT OPERATES A LIGHT THROUGH VOICE RECOGNITION AND A LIGHT OPERATION METHOD OF AN AR GLASSES APPARATUS USING VOICE RECOGNITION";"CHIWON CHOI 
KWON DONGPYO 
WOO HYE JI";"P&C SOLUTION [KR]";"KR20230146378A";"2022-04-12";"G02B27/01 
G06F3/01 
G06F3/16 
G06T19/00 
G06V40/18";"G02B27/017 (KR) 
G06F3/013 (KR) 
G06F3/16 (KR) 
G06T19/006 (KR) 
G06V40/18 (KR) 
G02B2027/0187 (KR)";"2023-10-19";"2023-10-19";"088507750";
"459";"Head-mounted display device and system";"FAN HANG";"FAN HANG";"CN105807428A 
CN105807428B";"2016-05-09";"G02B27/01 
G06F3/01";"G02B27/017 (CN) 
G06F3/011 (CN) 
G02B2027/0134 (CN) 
G02B2027/0141 (CN) 
G06F2203/012 (CN)";"2016-07-27 
2019-03-26";"2016-07-27";"056455681";
"460";"ESTIMATING PRESCRIPTION GLASSES STRENGTH FOR HEAD-MOUNTED DISPLAY USERS";"SELIN MÅRTEN [SE] 
LEE HUU [SE] 
RANA PRAVIN KUMAR [SE]";"TOBII AB [SE]";"US2025363654A1";"2024-05-23";"G06F3/01 
G06T7/13 
G06T7/60 
G06T7/70";"A61B3/113 (EP) 
A61B3/152 (EP) 
G02B27/0093 (EP) 
G02B27/017 (EP,CN) 
G02B27/0172 (EP) 
G02B27/0179 (CN) 
G06F3/013 (EP) 
G06N20/00 (CN) 
G06T7/13 (US) 
G06T7/60 (US) 
G06T7/70 (US) 
G06V10/766 (CN) 
G06V40/19 (CN) 
G06V40/193 (EP) 
G02B2027/0138 (EP,CN) 
G02B2027/0178 (CN) 
G02B2027/0187 (CN) 
G06F3/013 (US) 
G06T2207/20081 (US) 
G06T2207/30041 (US)";"2025-11-27";"2025-11-25";"095713727";
"461";"AR GLASSES WITH EVENT, SENSOR, AND USER ACTION BASED DIRECT CONTROL OF EXTERNAL DEVICES WITH FEEDBACK";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US]";"US2012206335A1";"2010-02-28";"G06F3/01";"G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2012-08-16";"2012-08-16";"046636495";
"462";"Augmented reality-type head-mounted display and light path structure thereof";"SHU XINWEI 
DONG RUO";"SHANGHAI MIAOSHI OPTICAL TECH CO LTD";"CN107976807A";"2016-11-25";"G02B27/01 
G02B5/04";"G02B27/0172 (CN) 
G02B5/04 (CN)";"2018-05-01";"2018-05-01";"062005210";
"463";"Fixing suite based on mixed reality head-mounted display";"JIANG FEI 
LI TIANYU 
CHENG PENG 
ZHANG LETIAN 
WANG SHUAI";"SHANGHAI VIPLUS INFORMATION TECH CO LTD";"CN222213080U";"2024-05-23";"G02B27/01";"";"2024-12-20";"2024-12-20";"093873382";
"464";"Head-Mounted Display With Facial Interface For Sensing Physiological Conditions";"STRONGWATER DANIEL M [US] 
BAUERLY KRISTI E [US] 
HATFIELD DUSTIN A [US]";"APPLE INC [US]";"US11740475B2 
US2020233220A1";"2019-01-17";"G06K9/00 
G02B27/01 
G06F3/01 
G06T19/00 
G06V40/16 
G06T19/00";"G02B27/0176 (KR,US) 
G06F3/011 (EP) 
G06F3/012 (KR,US) 
G06F3/013 (EP,KR) 
G06F3/015 (KR,US) 
G06T19/006 (KR) 
G06V40/176 (KR,US) 
G02B2027/0138 (KR,US) 
G06T19/006 (US)";"2020-07-23 
2023-08-29";"2020-07-23";"069529029";
"465";"IMAGE CORRECTION METHOD AND APPARATUS, ELECTRONIC DEVICE, AND HEAD-MOUNTED DISPLAY DEVICE";"ZOU HELIANG [CN] 
QIU XUDONG [CN]";"GOERTEK INC [CN]";"WO2023115460A1";"2021-12-20";"G06F3/01 
G06T5/00";"G06F3/01 (EP)";"2023-06-29";"2022-04-15";"081100402";
"466";"Locking Mechanism Based on Unnatural Movement of Head-Mounted Display";"PETROU DAVID [US]";"PETROU DAVID [US] 
GOOGLE INC [US]";"US2013069787A1 
US8659433B2";"2011-09-21";"G08B23/00";"G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F21/32 (EP,US) 
G06F21/88 (EP,US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
H04W12/068 (EP,US) 
H04W12/33 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
H04W12/082 (EP,US) 
H04W12/68 (EP,US)";"2013-03-21 
2014-02-25";"2012-07-17";"046465490";
"467";"HEAD-MOUNTED DISPLAY DEVICE, CONTROL METHOD FOR HEAD-MOUNTED DISPLAY DEVICE, AND COMPUTER PROGRAM";"YAJIMA KENRO [JP] 
KOBAYASHI SHINICHI [JP] 
ARUGA NAOTO [JP]";"SEIKO EPSON CORP [JP]";"US2015268473A1 
US9715113B2";"2014-03-18";"G02B27/00 
G02B27/01 
G06T19/00 
G09G5/00";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G06T11/60 (EP,US) 
G06T19/006 (EP,US) 
G06T7/74 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G06T2207/30201 (US)";"2015-09-24 
2017-07-25";"2015-09-24";"054141953";
"468";"SENSOR-BASED COMMAND AND CONTROL OF EXTERNAL DEVICES WITH FEEDBACK FROM THE EXTERNAL DEVICE TO THE AR GLASSES";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US]";"US2012194550A1";"2010-02-28";"G06F3/01 
G09G5/00";"G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US)";"2012-08-02";"2012-08-02";"046576994";
"469";"Power equipment inspection method and device, AR glasses and storage medium";"GU YUBING 
CHEN CHANG 
CAO DEFA 
CHEN JIAQUAN 
MEI YONGWU 
YE HUIJIA 
SHI YANG 
LI WEIQING 
RAO JUWEI 
XIE WEITAO 
LIU WEIFANG 
ZHANG ZHENGMIN";"MEIZHOU POWER SUPPLY BUREAU GUANGDONG POWER GRID CO LTD";"CN113066195A";"2021-03-17";"G01K13/00 
G06K9/00 
G07C1/20 
G08B21/24 
G08B7/06 
H04N13/344";"G01K13/00 (CN) 
G06V20/20 (CN) 
G07C1/20 (CN) 
G08B21/24 (CN) 
G08B7/06 (CN) 
H04N13/344 (CN)";"2021-07-02";"2021-07-02";"076560940";
"470";"Multilayer augmented reality smart glasses";"SU BO 
WANG YOUCHU";"SHENZHEN ZENGQIANG REALITY TECH CO LTD";"CN105938250A";"2016-05-12";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2016-09-14";"2016-09-14";"057152031";
"471";"Golf distance measuring system based on augmented reality glasses";"QIN YING 
YAO LIJUN 
ZHAO LI 
FU JINGLI 
ZHU YONGHONG";"WUHAN TUOPU JINGYAN SEMICONDUCTOR TECH CO LTD";"CN223333159U";"2024-07-22";"G01S17/08 
G01S17/10 
G01S7/481 
G02B27/01";"";"2025-09-12";"2025-09-12";"096984935";
"472";"LASER BEAM SCANNING DISPLAY DEVICE AND AUGMENTED REALITY GLASSES";"WANG JIN [CN] 
JIANG BIN [CN]";"GOERTEK TECH CO LTD [CN]";"US11372244B2 
US2019285893A1";"2017-12-25";"G02B26/10 
G02B27/01 
G02B27/09 
G02B7/04 
G06T19/00 
G02B27/10";"G02B26/0833 (EP) 
G02B26/10 (KR,US) 
G02B27/01 (US) 
G02B27/0172 (EP,KR,US) 
G02B27/0955 (US) 
G02B27/10 (US) 
G02B27/18 (KR) 
G02B7/04 (US) 
G02C11/10 (KR) 
G06T19/006 (US) 
G02B2027/0178 (KR)";"2019-09-19 
2022-06-28";"2019-07-04";"067064227";
"473";"Mixed reality holographic head-mounted display limb and spine movement rehabilitation system and method";"XING QIUJUAN 
ZHAO YUN 
WU JI 
HUANG CHUNSHUI 
BAO JIE 
LU YUSUN 
XUE KUN 
YANG YING 
LI LI";"SHANGHAI CHANGNING TIANSHAN TRADITIONAL CHINESE MEDICINE HOSPITAL";"CN111124102A 
CN111124102B";"2019-10-24";"G06F3/01 
G06T19/00 
G16H20/30";"G06F3/011 (CN) 
G06T19/006 (CN) 
G16H20/30 (CN)";"2020-05-08 
2024-01-05";"2020-05-08";"070495527";
"474";"AR GLASSES APPARATUS THAT ANALYZES THE WEARERS CONDITION BASED ON EYE TRACKING";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION CO LTD [KR]";"KR20240043989A";"2022-09-28";"G02B27/01 
G06F3/01 
G06T19/00 
H04W4/02";"G02B27/0172 (KR) 
G02B27/0179 (KR) 
G06F3/013 (KR) 
G06V40/18 (KR) 
H04W4/02 (KR) 
G02B2027/0187 (KR)";"2024-04-04";"2024-04-04";"090637853";
"475";"AR GLASSES WITH EVENT AND SENSOR TRIGGERED AR EYEPIECE COMMAND AND CONTROL FACILITY OF THE AR EYEPIECE";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US]";"US2012212406A1";"2010-02-28";"G09G5/00";"G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B27/0093 (EP,US) 
G02B6/12009 (EP,US)";"2012-08-23";"2012-08-23";"046652308";
"476";"DIFFRACTIVE OPTICAL ELEMENTS-BASED WAVEGUIDE ARCHITECTURE FOR AUGMENTED REALITY GLASSES WITH WIDE FIELD OF VIEW";"BORISOV VLADIMIR NIKOLAEVICH [RU] 
ANGERVAKS ALEKSANDR EVGENYEVICH [RU] 
MURAVEV NIKOLAY VIKTOROVICH [RU] 
OKUN ROMAN ALEKSANDROVICH [RU] 
VOSTRIKOV GAVRIL NIKOLAEVICH [RU] 
POPOV MIKHAIL VYACHESLAVOVICH [RU]";"SAMSUNG ELECTRONICS CO LTD [KR]";"WO2023038280A1";"2021-09-13";"G02B27/01";"G02B27/0081 (EP) 
G02B27/0172 (EP) 
G02B2027/0174 (EP) 
G02B2027/0178 (EP)";"2023-03-16";"2023-03-16";"085506605";
"477";"WAVEGUIDE DISPLAY LENS AND AUGMENTED REALITY GLASSES";"LUO MINGHUI [CN] 
QIAO WEN [CN] 
LI RUIBIN [CN] 
CHENG TANGDONG [CN] 
CHEN LINSEN [CN]";"SVG TECH GROUP CO LTD [CN]";"WO2021073544A1";"2019-10-14";"G02B27/01 
G02B5/18";"G02B27/01 (EP) 
G02B27/0172 (CN) 
G02B5/18 (EP,CN) 
G02B2027/0178 (CN)";"2021-04-22";"2021-04-22";"075538413";
"478";"Waveguide display lens and augmented reality glasses";"LUO MINGHUI 
QIAO WEN 
LI RUIBIN 
CHENG TANGDONG 
CHEN LINSEN";"SVG OPTRONICS CO LTD";"CN210720883U";"2019-10-14";"G02B27/01 
G02B5/18";"";"2020-06-09";"2020-06-09";"070935966";
"479";"Augmented reality glasses";"ZHANG XING 
KONG ZHEN 
GUO ZHEN";"GOERTEK TECH CO LTD";"CN207965350U";"2017-10-19";"G02B27/01";"";"2018-10-12";"2018-10-12";"063723121";
